feature,age_lo,age_hi,sex,lo,hi,n_raw,n_weighted,events_weighted,rate
ATC95,70,200,0,0.0,3877.666666666667,121,1400.0504999999998,30.0,0.021427798497268495
ATC95,70,200,0,3877.666666666667,5583.0,60,551.9425000000002,25.0,0.04529457325717804
ATC95,70,200,0,5583.0,6879.0,61,637.2755000000003,20.0,0.031383600970067094
ATC95,70,200,0,6879.0,8001.666666666667,60,580.0535000000002,23.0,0.03965151490336666
ATC95,70,200,0,8001.666666666667,8920.0,60,580.0535000000002,23.0,0.03965151490336666
ATC95,70,200,0,8920.0,9967.333333333334,61,665.3865000000003,18.0,0.027051946500267127
ATC95,70,200,0,9967.333333333334,10649.0,60,650.3310000000002,18.0,0.027678213094562604
ATC95,70,200,0,10649.0,11478.0,60,622.2200000000003,20.0,0.032142971939185486
ATC95,70,200,0,11478.0,12307.333333333332,61,707.5530000000002,15.0,0.021199825313439412
ATC95,70,200,0,12307.333333333332,13492.0,60,720.6085000000003,13.0,0.01804030898886149
ATC95,70,200,0,13492.0,14709.0,60,692.4975000000002,15.0,0.02166072801706865
ATC95,70,200,0,14709.0,16326.0,61,609.1645000000003,22.0,0.03611503953365632
ATC95,70,200,0,16326.0,18722.666666666664,60,622.2200000000003,20.0,0.032142971939185486
ATC95,70,200,0,18722.666666666664,45044.0,61,735.6640000000003,13.0,0.017671110724461158
ATC95,70,200,1,0.0,2039.1333333333334,51,613.2200000000001,11.0,0.01793809725710185
ATC95,70,200,1,2039.1333333333334,5018.466666666667,51,514.8315000000001,18.0,0.03496289562701582
ATC95,70,200,1,5018.466666666667,7152.2,51,374.2765,28.0,0.0748110020265766
ATC95,70,200,1,7152.2,8409.6,51,486.7205000000001,20.0,0.041091345032724116
ATC95,70,200,1,8409.6,9415.666666666666,51,458.6095000000001,22.0,0.047971095234616803
ATC95,70,200,1,9415.666666666666,10260.4,51,430.49850000000004,24.0,0.0557493231683734
ATC95,70,200,1,10260.4,11149.866666666667,51,528.8870000000002,17.0,0.032142971939185486
ATC95,70,200,1,11149.866666666667,12252.333333333334,50,471.6650000000001,20.0,0.04240297668896356
ATC95,70,200,1,12252.333333333334,13159.8,51,500.77600000000007,19.0,0.0379411153889164
ATC95,70,200,1,13159.8,14335.666666666666,51,514.8315000000001,18.0,0.03496289562701582
ATC95,70,200,1,14335.666666666666,15505.799999999997,51,528.8870000000002,17.0,0.032142971939185486
ATC95,70,200,1,15505.799999999997,16858.199999999997,51,430.49850000000004,24.0,0.0557493231683734
ATC95,70,200,1,16858.199999999997,18252.466666666664,51,500.77600000000007,19.0,0.0379411153889164
ATC95,70,200,1,18252.466666666664,20598.866666666665,51,528.8870000000002,17.0,0.032142971939185486
ATC95,70,200,1,20598.866666666665,37172.0,51,486.7205000000001,20.0,0.041091345032724116
